type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldOn,listPrice,status,sold_year,sold_month,age,status_encoded
single_family,2020,1.0,1.0,1.0,1.0,2.0,71438.0,696.0,2.0,2018-05-31,90000.0,for_sale,2018,5,4,0
single_family,1968,4.0,3.0,2.0,1.0,2.0,56628.0,3700.0,2.0,2018-05-31,799000.0,for_sale,2018,5,56,0
single_family,1985,4.0,3.0,3.0,1.0,1.0,10019.0,3528.0,2.0,2018-05-31,389900.0,for_sale,2018,5,39,0
single_family,1936,4.0,2.0,2.0,1.0,2.0,12632.0,2097.0,2.0,2018-04-16,300000.0,for_sale,2018,4,88,0
land,2003,4.0,0.0,2.0,1.0,2.0,872071.0,2400.0,2.0,2018-05-31,70000.0,for_sale,2018,5,21,0
mobile,1994,3.0,2.0,2.0,1.0,2.0,121968.0,1880.0,1.0,2018-05-31,550000.0,for_sale,2018,5,30,0
single_family,2001,4.0,4.0,3.0,1.0,2.0,4792.0,2284.0,3.0,2018-05-31,449000.0,for_sale,2018,5,23,0
single_family,2004,4.0,5.0,5.0,1.0,6.0,104980.0,4407.0,2.0,2012-05-07,1290000.0,for_sale,2012,5,20,0
mobile,1979,3.0,2.0,2.0,1.0,2.0,13939.0,885.0,1.0,2018-05-31,75000.0,for_sale,2018,5,45,0
single_family,2022,6.0,4.0,4.0,1.0,2.0,14375.0,4296.0,2.0,2018-05-31,155000.0,for_sale,2018,5,2,0
mobile,1970,2.0,1.0,1.0,1.0,2.0,13939.0,768.0,1.0,2018-05-31,36000.0,for_sale,2018,5,54,0
mobile,1996,3.0,2.0,2.0,1.0,2.0,43560.0,1642.0,1.0,2018-11-29,350000.0,for_sale,2018,11,28,0
single_family,1998,2.0,1.0,2.0,1.0,2.0,920858.0,535.0,2.0,2018-05-31,410000.0,for_sale,2018,5,26,0
mobile,1970,2.0,1.0,1.0,1.0,2.0,4356.0,750.0,1.0,2018-05-31,44900.0,for_sale,2018,5,54,0
single_family,2010,5.0,5.0,4.0,1.0,4.0,91040.0,2400.0,2.0,2018-05-31,1750000.0,for_sale,2018,5,14,0
mobile,1981,2.0,1.0,1.0,1.0,2.0,261360.0,700.0,1.0,2011-11-04,319000.0,for_sale,2011,11,43,0
single_family,1982,5.0,6.0,3.0,1.0,4.0,19602.0,6205.0,4.0,2022-01-03,2100000.0,for_sale,2022,1,42,0
single_family,2017,6.0,6.0,5.0,1.0,3.0,47480.0,6620.0,2.0,2021-07-22,2100000.0,for_sale,2021,7,7,0
single_family,2003,3.0,3.0,2.0,1.0,3.0,13939.0,2406.0,2.0,2018-05-31,557990.0,ready_to_build,2018,5,21,1
single_family,2003,3.0,3.0,2.0,1.0,3.0,13939.0,2188.0,2.0,2018-05-31,539990.0,ready_to_build,2018,5,21,1
single_family,2022,5.0,5.0,4.0,1.0,3.0,113256.0,5015.0,2.0,2019-11-22,5950000.0,for_sale,2019,11,2,0
single_family,2003,3.0,3.0,2.0,1.0,3.0,13939.0,1732.0,2.0,2018-05-31,504990.0,ready_to_build,2018,5,21,1
single_family,2006,5.0,5.0,5.0,1.0,5.0,16988.0,4899.0,3.0,2016-11-16,1133000.0,for_sale,2016,11,18,0
single_family,1965,5.0,4.0,4.0,1.0,2.0,11326.0,3942.0,2.0,2018-05-31,525000.0,for_sale,2018,5,59,0
single_family,2003,5.0,3.0,3.0,1.0,3.0,13939.0,2781.0,2.0,2018-05-31,528995.0,ready_to_build,2018,5,21,1
condo,2003,3.0,3.0,2.0,1.0,2.0,13939.0,1606.0,2.0,2018-05-31,409990.0,for_sale,2018,5,21,0
single_family,2002,3.0,2.0,2.0,1.0,5.0,46609.0,2542.0,2.0,2018-05-31,754900.0,for_sale,2018,5,22,0
single_family,2022,5.0,8.0,2.0,3.0,2.0,3485.0,4929.0,4.0,1998-11-20,1100000.0,for_sale,1998,11,2,0
single_family,2003,4.0,3.0,2.0,1.0,3.0,13939.0,2371.0,2.0,2018-05-31,528995.0,ready_to_build,2018,5,21,1
single_family,2003,3.0,3.0,2.0,1.0,3.0,13939.0,2126.0,2.0,2018-05-31,528995.0,ready_to_build,2018,5,21,1
single_family,1976,4.0,3.0,3.0,1.0,2.0,11326.0,3048.0,2.0,2018-05-31,469000.0,for_sale,2018,5,48,0
single_family,2003,4.0,3.0,2.0,1.0,3.0,13939.0,2562.0,2.0,2018-05-31,528995.0,ready_to_build,2018,5,21,1
single_family,2020,5.0,4.0,3.0,1.0,4.0,65776.0,6560.0,2.0,2020-12-11,2549000.0,for_sale,2020,12,4,0
single_family,2013,3.0,3.0,3.0,1.0,4.0,537530.0,3913.0,2.0,2018-05-31,1050000.0,for_sale,2018,5,11,0
single_family,1972,4.0,4.0,2.0,1.0,2.0,33106.0,4571.0,2.0,2002-06-20,579900.0,for_sale,2002,6,52,0
